Fertilizer Name;N (%);P (%);K (%);Fertilizer Type;Absorption Rate (%);Price per kg (TND);State;Region of Use in Tunisia;Specific Crop;Crop N;Crop P;Crop K;Application Method;Root Depth (cm);Soil_P;Soil_K;Soil_N;pH;Usage (Dosage)
FUSVICUR;5;5;15;Organic;50;2.02;Jendouba;North;Tomato;142;33;22;Foliar;45;30.9;78.6;55.8;6.803918631335078;6.98
ORGAFLOW;18;10;15;Granular;70;3.65;Manouba;North;Barley;127;39;57;Radicular;55;36.0;87.65649939142641;40.9;6.645277887053616;5.0
TRADEBOR;12;10;20;Liquid;50;3.09;Sousse;Central;Olive;146;70;40;Radicular and Foliar;80;16.78278871061468;62.19533344083885;48.5;7.453491440190176;5.13
GREEN FORGE;15;15;15;Organic;50;3.02;Monastir;Central;Wheat;41;73;79;Radicular and Foliar;60;11.7;84.3;20.96048436429697;7.927796501299992;7.94
ALGADUL;5;10;10;Granular;65;2.4;Gabes;South;Barley;127;39;57;Radicular and Foliar;55;4.913151647250015;88.35655697489514;37.58569083673861;8.351475707086054;10.17
DCM VIVIKALI;5;5;20;Chemical;80;2.47;Kebili;South;Wheat;41;73;79;Soil Application;60;19.0;77.48404785623107;38.13227951922666;8.040178060329866;8.82
IRON CHELATE 6%;15;5;15;Liquid;80;2.41;Beja;North;Potato;61;62;21;Foliar;50;23.5;134.96619878779424;36.6;7.162088659155941;6.13
ECORMON;5;5;15;Chemical;85;2.25;Sfax;South;Corn;142;61;34;Radicular and Foliar;70;6.437091950573165;108.83077487130387;40.26839804310075;7.49777459276037;5.0
ORGANIC PLUS 3-2-2;3;2;2;Chemical;50;1.54;Kebili;South;Barley;127;39;57;Soil Application;55;19.20376924085854;77.2509333815789;40.46167693293992;7.855662049516002;51.55
PERFECTOSE;15;5;10;Liquid;50;2.01;Gabes;South;Potato;61;62;21;Radicular and Foliar;50;4.7;84.88615923189879;37.7;8.386963450457772;12.86
Superphosphate;0;20;0;Granular;45;1.7;Sfax;South;Tomato;142;33;22;Radicular and Soil Application;45;6.211113495133711;99.25658741518896;40.9;7.856873173085528;178.6
DCM VIVIKALI;5;5;20;Chemical;80;2.98;Nabeul;North;Potato;61;62;21;Soil Application;50;20.3;116.3508391882681;;6.77002172557954;5.0
ACM CITRUS;5;5;5;Organic;74;1.56;Zaghouan;North;Tomato;142;33;22;Radicular and Foliar;45;18.2;;72.2;7.124498229646052;17.64
MIX DRIP COMPBI;5;10;20;Granular;70;3.0;Kebili;South;Olive;146;70;40;Radicular and Foliar;80;18.2;79.91195054623132;40.88717220735359;8.027191935989665;5.0
FORCEX ECO;10;5;10;Organic;65;2.53;Manouba;North;Wheat;41;73;79;Radicular and Foliar;60;38.22339965366072;96.43052636563708;39.21242571512519;6.726158529519712;8.11
GLYBET;20;10;10;Liquid;80;3.11;Siliana;Central;Barley;127;39;57;Radicular and Foliar;55;16.198778942253757;72.5778615896552;58.7;7.513734811948953;8.04
FERTIGRAIN FOLIAR;10;10;5;Liquid;65;2.45;Beja;North;Corn;142;61;34;Foliar;70;28.8;120.54159952359817;38.98849369678575;7.027843450719759;17.44
AMINOPLUS ORGANIC;10;5;10;Granular;55;2.48;Tunis;North;Tomato;142;33;22;Radicular and Foliar;45;24.979430792180352;138.9;69.89842807148575;7.097923775427535;11.8
Ammonium Nitrate;34;0;0;Granular;52;3.02;Bizerte;North;Corn;142;61;34;Soil Application;70;32.24280557168608;85.1938412691682;46.7;6.645918719844023;132.9
WUXAL AMINO;15;5;10;Organic;70;2.13;Nabeul;North;Barley;127;39;57;Radicular and Foliar;55;23.2;109.4;47.8;6.732916609247475;9.09
FULVILAND;15;10;12;Chemical;60;2.47;Ariana;North;Olive;146;70;40;Radicular and Foliar;80;17.1;94.7;33.985603444552176;7.0244300226043785;8.1
STIMUL NOSSUM SP;15;15;10;Organic;75;2.86;Tunis;North;Barley;127;39;57;Radicular and Foliar;55;27.7;140.69963770515477;65.26590410440622;7.034500631736136;8.37
STIMUL NOSSUM SP;15;15;10;Organic;75;3.25;Tunis;North;Olive;146;70;40;Radicular and Foliar;80;25.4;157.45823907242803;63.3;7.177544064495586;6.54
Potash;0;0;60;Granular;55;4.25;Ben Arous;North;Barley;127;39;57;Radicular and Soil Application;55;31.02186079794804;129.7;34.524138764037126;7.247525409065382;5.0
IDAI CA SOIL;8;10;15;Granular;85;2.81;Siliana;Central;Tomato;142;33;22;Radicular and Foliar;45;18.439139975419817;67.96954962837201;57.67334921300276;7.538342823064746;5.48
CALCIUM NITRATE;10;15;15;Organic;60;3.28;Tunis;North;Olive;146;70;40;Soil Application;80;24.4467948419908;153.22976008570583;;6.9188985648239445;5.0
SYNAFER PREMIUM Fe 6% EDDHA;5;15;10;Liquid;55;2.68;Medenine;South;Corn;142;61;34;Radicular and Soil Application;70;23.1;44.59915640667747;23.62909051679464;7.570250115369337;10.88
TURBO;15;10;15;Chemical;60;3.49;Monastir;Central;Wheat;41;73;79;Radicular and Foliar;60;11.5;83.5;20.5240083169245;7.875864745121228;6.85
IDAI CA SOIL;8;10;15;Granular;85;2.64;Medenine;South;Wheat;41;73;79;Radicular and Foliar;60;19.744575019034592;47.40845816003549;24.863581595152308;7.600470411266044;71.1
ECORMON;5;5;15;Chemical;85;2.69;Tozeur;South;Tomato;142;33;22;Radicular and Foliar;45;20.41360605526215;59.9;14.257280096932488;8.186482389875543;6.04
AGROGOLD 20-20-20;20;20;20;Organic;65;3.98;Tozeur;South;Olive;146;70;40;Foliar;80;25.34222061524048;62.4;13.8;8.192833180638436;5.0
BESTCURE;15;10;10;Liquid;75;2.91;Beja;North;Corn;142;61;34;Radicular and Foliar;70;23.6;135.5;38.023286639766994;6.944741047769511;8.42
Urea;46;0;0;Granular;50;3.03;Siliana;Central;Tomato;142;33;22;Radicular;45;16.3;77.40093728854434;47.1;7.259457628599755;166.53
FERTIGRAIN START;15;15;15;Organic;50;3.3;Tataouine;South;Wheat;41;73;79;Seed Treatment;60;22.08381373438779;70.6896501993733;24.688138315087564;7.5898715052321;47.14
POTAFERT 0-0-60;0;0;60;Liquid;65;3.65;Kairouan;Central;Tomato;142;33;22;Soil Application;45;22.7;62.6;55.2;7.703111895703396;5.0
ESPARTAN;5;8;25;Granular;55;3.25;Kasserine;Central;Potato;61;62;21;Radicular;50;30.8;126.94358568715336;44.5;7.846239990651959;5.1
GOLDEN FER;12;10;5;Liquid;70;2.66;Ben Arous;North;Potato;61;62;21;Radicular and Soil Application;50;27.2286985342521;124.4;28.4;7.308023028763318;17.72
ACM COBRE;12;15;10;Organic;50;2.96;Zaghouan;North;Corn;142;61;34;Radicular and Foliar;70;15.6;143.6700476431452;75.21065909328597;7.232318926445369;11.49
CRIPTHUM;18;15;20;Organic;69;3.31;Kef;Central;Wheat;41;73;79;Radicular;60;16.5;97.5;25.32439218174457;7.749927221274845;5.0
MOLEX;5;15;25;Chemical;75;3.26;Monastir;Central;Barley;127;39;57;Radicular and Foliar;55;14.2;94.22451690270312;19.74197667558457;7.805578962861655;5.0
BOMBARDIER SUGAR;15;15;10;Granular;50;2.65;Sfax;South;Olive;146;70;40;Radicular and Foliar;80;6.86040775143547;93.43349182677116;46.589921859298514;7.956395584504584;10.05
BIOCALCIUM;10;15;15;Chemical;55;2.98;Sfax;South;Barley;127;39;57;Radicular and Foliar;55;6.7;104.05228877949034;42.11666046171514;7.578504412086719;8.57
CALFERT 15-0-0 + 20CaO;15;0;0;Organic;80;2.04;Zaghouan;North;Barley;127;39;57;Radicular and Foliar;55;17.140749753157966;154.69014355921888;88.00021387662545;7.051914615250469;94.39
IDAI CA SOIL;8;10;15;Granular;85;2.79;Kasserine;Central;Corn;142;61;34;Radicular and Foliar;70;27.5;108.9;46.34156694017351;7.763612920153668;5.0
ECORMON;5;5;15;Chemical;85;2.46;Siliana;Central;Barley;127;39;57;Radicular and Foliar;55;18.30080993481471;76.1;52.39621598222034;7.217356924108342;6.18
FOLIASTIM mix TE liquide;15;15;5;Organic;70;2.8;Mahdia;Central;Wheat;41;73;79;Foliar;60;15.329559683578706;107.4690398333714;33.6;7.421567197409657;13.51
WUXAL ASCOFOL;15;15;10;Liquid;70;2.66;Jendouba;North;Potato;61;62;21;Foliar;50;28.6170564794974;78.06027772145138;53.7771321240485;6.602610207165121;9.02
ZINCROPLUS;15;15;15;Chemical;75;2.77;Sfax;South;Wheat;41;73;79;Foliar;60;6.530686172385856;95.96561644658044;37.83083793964863;7.57116289375859;5.0
MAGNIFERT 10-5-10 + 2MgO;10;5;10;Chemical;55;2.38;Gabes;South;Olive;146;70;40;Soil Application;80;5.0;93.11239178132084;;8.123766554172514;5.0
VEGETAMIN ECO;15;15;10;Chemical;80;2.68;Tunis;North;Tomato;142;33;22;Radicular and Foliar;45;22.8;147.6769894229552;67.5;7.144395060476115;8.18
ECOFERT 5-3-4;5;3;4;Granular;60;1.91;Ariana;North;Tomato;142;33;22;Soil Application;45;17.205499934253055;90.4935318311446;31.7;7.192710988428508;28.54
POTASSIUM NITRATE;15;10;15;Granular;58;2.91;Zaghouan;North;Tomato;142;33;22;Soil Application;45;15.27405746891238;155.52584538602187;71.67520515530747;7.281240498314659;8.48
N-BALANCER;15;15;10;Granular;75;3.15;Gafsa;South;Olive;146;70;40;Radicular and Foliar;80;11.894676678806327;65.30789311944424;39.7;8.087997657695725;7.62
Nutriplusorganic 4-3-3;4;3;3;Organic;60;1.69;Kebili;South;Corn;142;61;34;Soil Application;70;19.6;75.82619870338823;39.59225311920614;8.29840605532207;32.48
FOLIARFEED 10-5-5;10;5;5;Granular;65;2.36;Ben Arous;North;Barley;127;39;57;Foliar;55;27.6;137.8;29.6;7.517779475172142;19.08
MIX DRIP COMPBI;5;10;20;Granular;70;2.28;Sousse;Central;Corn;142;61;34;Radicular and Foliar;70;17.172561439473824;66.8572566453136;45.585972591750576;7.509390695163247;5.0
HUMILIG 8-8;8;8;8;Granular;85;2.63;Sidi Bouzid;Central;Potato;61;62;21;Radicular;50;12.3;69.0;19.77033719839249;7.526430705885154;10.16
SANBIO EPSOMIT;15;15;5;Granular;70;2.32;Kairouan;Central;Barley;127;39;57;Soil Application;55;21.1;73.4149643868261;63.6;7.519087702860386;17.02
Nutriplusorganic 4-3-3;4;3;3;Organic;60;1.21;Kasserine;Central;Olive;146;70;40;Soil Application;80;28.7;111.72466369482515;39.9;8.105969210431706;28.09
ACM POTASIO GEL;12;15;20;Liquid;80;3.14;Manouba;North;Corn;142;61;34;Radicular and Foliar;70;37.3;98.54991249318904;41.2;6.814866095217223;5.0
ALGADUL;5;10;10;Granular;65;2.72;Sfax;South;Barley;127;39;57;Radicular and Foliar;55;6.8;98.4;44.951158903023305;7.494349971032598;9.92
POTASSIUM NITRATE;15;10;15;Granular;55;2.91;Kasserine;Central;Potato;61;62;21;Soil Application;50;30.78275145079644;102.8;42.76771013332404;7.942024012327598;7.97
TUNIFERT 12-12-17;12;12;17;Organic;80;2.69;Kasserine;Central;Tomato;142;33;22;Soil Application;45;28.95447605156216;113.70048407795696;37.99056249158622;7.9796807704872945;5.37
IRONMAX 6%;5;15;10;Liquid;70;2.76;Nabeul;North;Corn;142;61;34;Foliar;70;21.751248477860905;118.07261677787076;53.1;6.747262298596803;7.97
ZINC SULFATE;5;10;15;Liquid;60;2.42;Sousse;Central;Wheat;41;73;79;Soil Application;60;16.766845570314636;66.63319459761303;46.9;7.473071887967087;16.65
ACM SEAFORCE;5;10;15;Liquid;85;2.27;Kasserine;Central;Olive;146;70;40;Seed Treatment and Foliar;80;28.02417930141668;116.48431538510984;47.55259118616474;8.037915410566491;5.1
ACM AMINO 12 VEGETAL;15;10;15;Liquid;75;2.64;Kairouan;Central;Olive;146;70;40;Radicular and Foliar;80;19.3;63.51254863732439;64.4;7.741833008334702;5.42
HUMIFERT LIQUID;10;10;10;Liquid;50;2.68;Kebili;South;Potato;61;62;21;Radicular and Foliar;50;19.551161674139724;;35.5;7.903260574680621;13.77
COPPER SULFATE;10;15;15;Granular;55;2.87;Mahdia;Central;Olive;146;70;40;Soil Application;80;14.372275160026874;110.1;30.141921379888668;7.463241164501524;7.17
BASFOLIAR SIZE SL;15;5;15;Organic;51;3.05;Tunis;North;Corn;142;61;34;Foliar;70;27.8;138.7;61.91726756447009;7.054333956526417;8.28
SYNAFER PREMIUM Fe 6% EDDHA;5;15;10;Liquid;55;2.03;Ariana;North;Olive;146;70;40;Radicular and Soil Application;80;;98.8;34.8;7.295703280135455;5.0
CUPRO ACTIV;15;15;15;Liquid;65;2.77;Ariana;North;Barley;127;39;57;Radicular and Foliar;55;19.87382172024021;94.70643957525938;33.1;7.51779062595062;7.07
IDAI K PLUS;8;10;15;Organic;60;2.56;Sidi Bouzid;Central;Olive;146;70;40;Radicular and Foliar;80;12.1;64.9;21.73904111183692;7.426104922950118;6.11
ECOFERT 5-3-4;5;3;4;Granular;60;1.3;Kebili;South;Corn;142;61;34;Soil Application;70;19.878160070857728;76.10568280029158;37.558085222853975;8.015070307426486;23.47
BIOZINC;10;10;5;Liquid;50;2.13;Sfax;South;Corn;142;61;34;Foliar;70;5.619758761197232;87.9;39.2;7.667271596212185;21.26
ORGANIC PLUS 3-2-2;3;2;2;Chemical;50;1.21;Ariana;North;Corn;142;61;34;Soil Application;70;19.28363818150597;88.01597819273923;31.4;7.15229796119773;49.26
BOMBARDIER;10;15;15;Organic;85;2.59;Zaghouan;North;Wheat;41;73;79;Radicular and Foliar;60;17.2;133.56298529527993;84.26987395773956;7.259360094255946;5.0
RHYZO;8;10;5;Liquid;55;2.63;Kebili;South;Potato;61;62;21;Radicular;50;20.168504646679867;70.19579871068095;41.665591092690775;7.952099543436351;20.24
GROBEL NPK 4-3-3 + 1MgO;4;3;3;Organic;55;1.85;Sidi Bouzid;Central;Tomato;142;33;22;Soil Application;45;11.818400446016042;75.1440677349904;24.3;7.476982363237719;42.82
MAGNESIUM NITRATE;10;10;10;Granular;53;2.41;Kairouan;Central;Barley;127;39;57;Soil Application;55;19.0;68.79397526566456;59.55719037358983;7.910755291772845;10.87
BIOCALCIUM;10;15;15;Chemical;55;3.36;Kef;Central;Potato;61;62;21;Radicular and Foliar;50;15.126970197776052;96.0;23.00557934477274;7.634147673902079;8.17
BESTCURE;15;10;10;Liquid;75;2.4;Zaghouan;North;Barley;127;39;57;Radicular and Foliar;55;15.550487070925747;155.1;85.2;7.495840290809517;8.31
ZINC SULFATE;5;10;15;Liquid;60;2.79;Tozeur;South;Tomato;142;33;22;Soil Application;45;22.8;73.8;16.024351258087073;8.245777447399185;7.48
BOMBARDIER;10;15;15;Organic;85;3.22;Nabeul;North;Olive;146;70;40;Radicular and Foliar;80;23.302278450225625;110.03303032213032;52.55630241956166;6.815014976005973;5.0
ACM FUL EXTRA;5;10;15;Liquid;80;2.24;Beja;North;Wheat;41;73;79;Radicular and Foliar;60;29.00515326633951;141.9322761351123;42.4;7.033584456650618;5.0
SYNAFER PREMIUM Fe 6% EDDHA;5;15;10;Liquid;55;2.26;Kef;Central;Barley;127;39;57;Radicular and Soil Application;55;14.619175678642732;90.2;25.5;7.847562123170304;11.58
Ammonium Nitrate;34;0;0;Granular;52;2.64;Tataouine;South;Wheat;41;73;79;Soil Application;60;23.2;72.5438202851634;23.496344175848968;7.618567193385508;61.09
BESTCURE;15;10;10;Liquid;75;2.98;Jendouba;North;Barley;127;39;57;Radicular and Foliar;55;31.75300483680044;84.67489727581771;58.3815059855121;6.649363487657457;8.12
SUPER FIFTY;10;5;10;Liquid;80;1.89;Mahdia;Central;Tomato;142;33;22;Radicular and Foliar;45;14.688258587797616;111.156540172068;30.6;7.389261113011967;9.2
CALMAG 10-0-0 + 12CaO + 6MgO;10;0;0;Chemical;65;1.81;Medenine;South;Potato;61;62;21;Radicular and Foliar;50;20.0;42.01078479343569;22.3667049866255;7.691384057065069;137.8
ALGAMAX ORGANIC;10;10;15;Liquid;50;3.0;Monastir;Central;Potato;61;62;21;Foliar;50;13.844402862827147;96.3;18.6;7.69813149567888;9.29
TARSSAN MIX;5;10;20;Granular;50;3.04;Nabeul;North;Barley;127;39;57;Radicular;55;22.5;106.8;54.41513189692849;6.723010866410943;6.82
CRIPTHUM;18;15;20;Organic;65;3.43;Sidi Bouzid;Central;Olive;146;70;40;Radicular;80;;69.72164358707408;20.34546837602856;7.24266425805659;5.0
BOMBARDIER;10;15;15;Organic;85;2.68;Tunis;North;Barley;127;39;57;Radicular and Foliar;55;23.0;134.66179697195062;66.3;7.256891841523804;5.27
CALMAG 10-0-0 + 12CaO + 6MgO;10;0;0;Chemical;65;1.01;Sousse;Central;Barley;127;39;57;Radicular and Foliar;55;17.3;68.50874330172041;50.5;7.364544118011226;134.43
ACM SEAFORCE;5;10;15;Liquid;85;2.31;Mahdia;Central;Olive;146;70;40;Seed Treatment and Foliar;80;14.923427491470312;96.4406283958103;29.341127391681752;7.599206229554656;5.0
Potash;0;0;60;Granular;55;4.36;Medenine;South;Tomato;142;33;22;Radicular and Soil Application;45;19.3;46.26666007137453;23.186828162574244;7.634636338595362;5.0
NITROPLUS 30-0-0;30;0;0;Organic;85;2.25;Gabes;South;Barley;127;39;57;Soil Application;55;5.011902121269625;97.88548937350282;40.91972116469618;8.386555372515028;100.94
FOLIASTIM B Mo liquide;15;15;10;Liquid;65;3.26;Siliana;Central;Barley;127;39;57;Foliar;55;17.89042248188596;80.8;51.96949183875294;7.21771873559273;9.7
FERTIMAX 15-15-15;15;15;15;Granular;60;3.24;Siliana;Central;Olive;146;70;40;Soil Application;80;16.084623908994654;77.92643178044618;49.88908101713385;7.322421872494725;5.89
HUMILAND;15;12;10;Liquid;50;3.26;Mahdia;Central;Tomato;142;33;22;Radicular;45;14.879239313014654;111.2;29.96468508942853;7.359751631717613;13.0
BIFIDUS;12;10;12;Organic;85;2.67;Tataouine;South;Barley;127;39;57;Micro-irrigation;55;20.247580832895625;85.28128338241945;20.6;7.534509725784215;6.98
ULTRAFERRO;15;10;15;Granular;85;2.57;Ben Arous;North;Corn;142;61;34;Radicular;70;32.309061842132245;123.8;34.630611626640935;7.555184758064251;5.31
WUXAL ASCOFOL;15;15;10;Liquid;70;3.3;Bizerte;North;Olive;146;70;40;Foliar;80;29.63320447646168;;48.10218687961275;6.917904489793784;8.0
BIOCALCIUM;10;15;15;Chemical;55;2.85;Kairouan;Central;Wheat;41;73;79;Radicular and Foliar;60;19.4;68.7177040114609;61.9;7.751191588495563;10.0
FULVOMAX;12;15;10;Granular;65;2.81;Monastir;Central;Corn;142;61;34;Radicular and Foliar;70;11.090601539687038;87.15645054359098;23.9;8.029333549960974;9.32
ALGAPOWER;15;10;10;Organic;55;2.78;Kairouan;Central;Barley;127;39;57;Radicular and Foliar;55;20.168306346009608;71.8;60.6;7.830321816661726;13.14
PANORAMIX WHEAT;10;5;10;Liquid;80;2.23;Monastir;Central;Corn;142;61;34;Seed Treatment;70;13.272290930284177;92.66196790676533;19.1;7.6667817583918545;7.48
AMINOPLUS ORGANIC;10;5;10;Granular;55;2.09;Kairouan;Central;Wheat;41;73;79;Radicular and Foliar;60;19.77348140498817;68.1;63.912609250103216;7.83159837667222;10.08
ACM AMINO 45 SOLID;15;15;15;Organic;85;3.05;Kasserine;Central;Wheat;41;73;79;Soil Application;60;29.90737503963645;112.66134555446855;42.1;7.844957278256324;5.0
ORGAFLOW;18;10;15;Granular;70;3.04;Sidi Bouzid;Central;Tomato;142;33;22;Radicular;45;10.125944459277676;78.10369424292386;23.08736467496368;7.341152567211789;7.03
CAOS XT;15;10;15;Chemical;55;3.38;Zaghouan;North;Barley;127;39;57;Radicular and Foliar;55;15.6;166.6;85.5;7.198124707623981;8.24
RAPTOR FE 48;15;10;10;Liquid;75;2.58;Nabeul;North;Corn;142;61;34;Radicular;70;25.35769604339553;125.9;50.14578016750716;6.605067946971674;8.36
AGRIFUL;15;10;15;Organic;70;3.48;Siliana;Central;Corn;142;61;34;Radicular and Foliar;70;19.40249944077851;73.9;49.70557985025741;7.592576245045698;6.32
BOTAMISOL PRO 80;15;10;10;Chemical;70;2.93;Bizerte;North;Corn;142;61;34;Radicular and Foliar;70;26.504924457637287;95.8;42.7;6.707876649922487;8.15
ALGAPOWER;15;10;10;Organic;55;2.94;Monastir;Central;Barley;127;39;57;Radicular and Foliar;55;13.568871566437208;81.08171939390874;21.32452250917444;7.773573487157039;12.86
ICI;12;5;15;Granular;80;2.31;Sfax;South;Potato;61;62;21;Radicular and Foliar;50;6.2;105.4;44.00125417324272;7.583674906800806;5.67
VITAMINA MIX;15;10;5;Liquid;70;2.5;Sfax;South;Barley;127;39;57;Radicular;55;6.8;92.93063457265562;44.35468484586298;7.7187806728793875;18.59
FUSVICUR;5;5;15;Organic;50;2.24;Medenine;South;Olive;146;70;40;Foliar;80;21.0;43.1;21.651398035071843;7.742481370300935;7.63
MANGANESE SULFATE;5;10;5;Chemical;70;2.45;Sfax;South;Olive;146;70;40;Soil Application;80;6.9;99.4083006216882;39.14395792773595;7.69258025195592;15.63
TECAMIN MAX;5;10;10;Chemical;50;2.56;Kef;Central;Potato;61;62;21;Radicular and Foliar;50;16.75517975920691;88.97149619302839;25.00995236201469;7.597628218129607;14.81
NPK 20-20-20;20;20;20;Granular;60;4.22;Kef;Central;Olive;146;70;40;Radicular and Foliar;80;14.5;80.54138936557408;24.2;7.968194498341563;5.0
FOLIASTIM MN/ZN;15;15;5;Liquid;75;3.0;Gafsa;South;Olive;146;70;40;Radicular;80;11.0;65.86992703712181;36.93120374646546;7.974071094857983;12.54
ACM SEAFORCE;5;10;15;Liquid;85;2.64;Mahdia;Central;Wheat;41;73;79;Seed Treatment and Foliar;60;14.39485267394657;100.4;30.3;7.755052090308797;5.32
ECORMON;5;5;15;Chemical;85;1.85;Kasserine;Central;Wheat;41;73;79;Radicular and Foliar;60;26.90987117692572;100.3;47.9955777691006;7.902779783542074;5.0
TUNIFERT 12-12-17;12;12;17;Organic;75;3.33;Kasserine;Central;Wheat;41;73;79;Soil Application;60;25.0;104.96393964635374;43.1;8.007517087856103;5.0
MAX SEASAILER;15;10;15;Liquid;80;3.05;Kebili;South;Tomato;142;33;22;Radicular and Foliar;45;19.09589094069903;67.5;40.9;8.006678639058821;5.96
ICI;12;5;15;Granular;80;2.56;Tozeur;South;Wheat;41;73;79;Radicular and Foliar;60;23.438665602931472;63.658441009790536;14.88063422244021;8.40365940755445;57.08
SUPER FIFTY;10;5;10;Liquid;80;2.6;Tunis;North;Wheat;41;73;79;Radicular and Foliar;60;25.68038252954507;153.5;66.8;6.955393205789168;5.0
ALGAPOWER;15;10;10;Organic;55;2.91;Kef;Central;Potato;61;62;21;Radicular and Foliar;50;15.412960161549371;90.70552028590026;28.4;7.628975021027147;11.98
FERTIGRAIN FOLIAR;10;10;5;Liquid;65;2.46;Tataouine;South;Barley;127;39;57;Foliar;55;19.568557500597027;85.84058719351457;25.62980270786839;7.724686973468425;18.87
VITAMINA MIX;15;10;5;Liquid;70;2.41;Jendouba;North;Potato;61;62;21;Radicular;50;29.0;78.45517891945946;59.53983216669181;6.5987994312427;11.53
AGROGOLD 20-20-20;20;20;20;Organic;65;4.15;Gabes;South;Olive;146;70;40;Foliar;80;5.6;;38.67870343560707;8.500191783064139;5.0
VEGETAMIN ECO;15;15;10;Chemical;80;2.86;Sidi Bouzid;Central;Tomato;142;33;22;Radicular and Foliar;45;12.1;74.1;20.8;7.331511195443178;8.64
Ammonium Nitrate;34;0;0;Granular;52;3.11;Jendouba;North;Barley;127;39;57;Soil Application;55;29.0378107138214;85.7188238266201;56.36542102376657;6.7308224009149145;147.75
TRADECORP AZ;15;15;5;Granular;50;2.38;Jendouba;North;Potato;61;62;21;Radicular and Foliar;50;32.8;83.4;53.235831440258096;6.587858859883365;17.96
POTASSIUM NITRATE;15;10;15;Granular;52;2.56;Manouba;North;Barley;127;39;57;Soil Application;55;38.646629491643765;100.0;40.37577736710914;6.702181114833096;5.0
STIMUL NOSSUM SP;15;15;10;Organic;72;3.08;Manouba;North;Tomato;142;33;22;Radicular and Foliar;45;35.697119945995176;94.0;37.38001766156606;6.74217213720158;5.0
ACM CITRUS;5;5;5;Organic;75;2.0;Kairouan;Central;Olive;146;70;40;Radicular and Foliar;80;22.2;68.4;52.74253576948488;7.885751114827345;14.4
HOLD plus;5;10;20;Granular;80;3.02;Tunis;North;Potato;61;62;21;Radicular and Foliar;50;23.2;154.04679484267177;61.98860193407732;7.294808715880093;5.0
BLACKJAK;18;12;20;Granular;80;3.85;Mahdia;Central;Tomato;142;33;22;Radicular;45;16.198411803643104;91.28320168596744;36.75457496102938;7.6837041223863025;5.0
ACM AMINO 45 SOLID;15;15;15;Organic;85;3.02;Tunis;North;Tomato;142;33;22;Soil Application;45;23.1986717523398;129.22321484073024;64.8372066643242;7.188818000914515;5.2
CALMAG 10-0-0 + 12CaO + 6MgO;10;0;0;Chemical;65;1.09;Bizerte;North;Corn;142;61;34;Radicular and Foliar;70;28.81514450133916;;43.3;6.874449985362416;103.25
ACM POTASIO GEL;12;15;20;Liquid;80;2.92;Kebili;South;Tomato;142;33;22;Radicular and Foliar;45;18.276226185534792;77.69340917892745;40.7;8.132845468156033;5.0
NUTRIJISA ECOCAL;10;15;15;Organic;65;3.01;Gafsa;South;Potato;61;62;21;Radicular and Foliar;50;11.6;57.36606925797307;42.6;8.10017163242342;7.43
TUNIFERT 12-12-17;12;12;17;Organic;80;2.91;Sidi Bouzid;Central;Wheat;41;73;79;Soil Application;60;11.142047165303312;67.6;20.1632190144669;7.108967021240346;22.36
WUXAL AMINO;15;5;10;Organic;70;2.64;Siliana;Central;Tomato;142;33;22;Radicular and Foliar;45;17.573397337294757;75.830005006459;57.3;7.164964641218018;10.79
