STATIONNAME,CLIMATEZONE,CROP,COUNTRY,YA,YP,Source_Type,LONGITUDE,LATITUDE,ELEVATION_METER,AREA_IN_CLIMATEZONE_HA,TOTAL_AREA_HA,NUMBER_OF_CONTRIBUTING_STATIONS,NUMBER_OF_CONTRIBUTING_CLIMATEZONES,Data_Type,MANAGEMENT,CROPCYCLE,HARVESTYEAR,SOWINGDATE,CULTIVARMATURITY,USEDMODEL,Irrigation_Type
Beja,1,Barley,Tunisia,4.53,4.91,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Barley,1,1995,11,150.0,WOFOST,1
Beja,1,Barley,Tunisia,5.5,6.164999999999999,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Barley,1,1996,11,153.0,WOFOST,1
Beja,1,Barley,Tunisia,4.57,4.96,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Barley,1,1997,11,157.0,WOFOST,1
Beja,1,Barley,Tunisia,5.59,5.630000000000001,Station,9.18,36.73,159,14370,25166,3,2,Merged Data,Single Barley,1,1998,11,173.0,WOFOST,1
Beja,1,Barley,Tunisia,5.29,5.38,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Barley,1,1999,11,164.0,WOFOST,1
Beja,1,Barley,Tunisia,5.48,6.135,Station,9.18,36.73,159,14370,25166,1,2,Merged Data,Single Barley,1,2000,11,170.0,WOFOST,1
Beja,1,Barley,Tunisia,5.69,6.26,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Barley,1,2001,11,151.0,WOFOST,1
Beja,1,Barley,Tunisia,4.26,4.77,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Barley,1,2002,11,172.0,WOFOST,1
Beja,1,Barley,Tunisia,5.95,6.26,Station,9.18,36.73,159,14370,25166,3,5,Merged Data,Single Barley,1,2003,11,166.0,WOFOST,1
Beja,1,Barley,Tunisia,5.68,5.949999999999999,Station,9.18,36.73,159,14370,25166,3,5,Merged Data,Single Barley,1,2004,11,171.0,WOFOST,1
Beja,1,Barley,Tunisia,5.93,5.885,Station,9.18,36.73,159,14370,25166,2,5,Merged Data,Single Barley,1,2005,11,155.0,WOFOST,1
Beja,1,Barley,Tunisia,5.71,6.19,Station,9.18,36.73,159,14370,25166,3,2,Merged Data,Single Barley,1,2006,11,160.0,WOFOST,1
Beja,1,Barley,Tunisia,4.61,5.305,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Barley,1,2007,11,173.0,WOFOST,1
Beja,1,Barley,Tunisia,6.08,6.385,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Barley,1,2008,11,163.0,WOFOST,1
Beja,1,Barley,Tunisia,5.07,5.26,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Barley,1,2009,11,163.0,WOFOST,1
Beja,1,Barley,Tunisia,5.28,6.115,Station,9.18,36.73,159,14370,25166,1,2,Merged Data,Single Barley,1,2010,11,156.0,WOFOST,1
Beja,1,Barley,Tunisia,4.25,4.67,Station,9.18,36.73,159,14370,25166,2,5,Merged Data,Single Barley,1,2011,11,174.0,WOFOST,1
Beja,1,Barley,Tunisia,4.91,5.165,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Barley,1,2012,11,163.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.91,11.76,Station,9.18,36.73,159,14370,25166,3,2,Merged Data,Single Tomatoes,1,1990,4,134.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.12,9.445,Station,9.18,36.73,159,14370,25166,2,3,Merged Data,Single Tomatoes,1,1991,4,128.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.62,11.53,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Tomatoes,1,1992,4,118.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.99,9.280000000000001,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Tomatoes,1,1993,4,133.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.19,9.379999999999999,Station,9.18,36.73,159,14370,25166,3,3,Merged Data,Single Tomatoes,1,1994,4,105.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.44,9.92,Station,9.18,36.73,159,14370,25166,2,1,Merged Data,Single Tomatoes,1,1995,4,132.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,7.18,8.2,Station,9.18,36.73,159,14370,25166,2,3,Merged Data,Single Tomatoes,1,1996,4,130.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.36,11.715,Station,9.18,36.73,159,14370,25166,2,1,Merged Data,Single Tomatoes,1,1997,4,130.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.32,11.54,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Tomatoes,1,1998,4,122.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.48,10.775,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Tomatoes,1,1999,4,128.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.51,10.355,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Tomatoes,1,2000,4,116.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.98,10.82,Station,9.18,36.73,159,14370,25166,1,4,Merged Data,Single Tomatoes,1,2001,4,130.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.61,11.56,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Tomatoes,1,2002,4,129.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.13,9.96,Station,9.18,36.73,159,14370,25166,3,1,Merged Data,Single Tomatoes,1,2003,4,110.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,7.98,8.525,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Tomatoes,1,2004,4,106.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.51,10.435,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Tomatoes,1,2005,4,131.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.88,9.905000000000001,Station,9.18,36.73,159,14370,25166,2,1,Merged Data,Single Tomatoes,1,2006,4,120.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.24,10.045,Station,9.18,36.73,159,14370,25166,1,1,Merged Data,Single Tomatoes,1,2007,4,116.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,10.6,11.57,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Tomatoes,1,2008,4,118.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,9.99,10.48,Station,9.18,36.73,159,14370,25166,2,2,Merged Data,Single Tomatoes,1,2009,4,122.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.82,8.86,Station,9.18,36.73,159,14370,25166,3,4,Merged Data,Single Tomatoes,1,2010,4,117.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,11.85,11.91,Station,9.18,36.73,159,14370,25166,2,5,Merged Data,Single Tomatoes,1,2011,4,122.0,WOFOST,1
Beja,1,Tomatoes,Tunisia,8.53,9.030000000000001,Station,9.18,36.73,159,14370,25166,1,3,Merged Data,Single Tomatoes,1,2012,4,112.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,4.57,5.205,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Wheat,1,1990,11,182.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.69,6.06,Station,8.77,36.5,110,12000,24000,1,1,Merged Data,Single Wheat,1,1991,11,163.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.06,5.625,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Wheat,1,1992,11,173.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.76,6.1,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Wheat,1,1993,11,167.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,6.47,6.875,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Wheat,1,1994,11,167.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.93,6.115,Station,8.77,36.5,110,12000,24000,3,5,Merged Data,Single Wheat,1,1995,11,180.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.74,5.96,Station,8.77,36.5,110,12000,24000,3,5,Merged Data,Single Wheat,1,1996,11,168.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.27,5.359999999999999,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Wheat,1,1997,11,166.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.36,5.98,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Wheat,1,1998,11,175.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.84,6.335,Station,8.77,36.5,110,12000,24000,2,3,Merged Data,Single Wheat,1,1999,11,180.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.39,5.78,Station,8.77,36.5,110,12000,24000,3,1,Merged Data,Single Wheat,1,2000,11,177.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.23,5.545,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Wheat,1,2001,11,176.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,4.97,5.685,Station,8.77,36.5,110,12000,24000,3,4,Merged Data,Single Wheat,1,2002,11,176.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,6.38,6.76,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Wheat,1,2003,11,179.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,4.48,5.105,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Wheat,1,2004,11,160.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.08,5.675000000000001,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Wheat,1,2005,11,159.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.29,6.055,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Wheat,1,2006,11,179.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,6.01,6.495,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Wheat,1,2007,11,161.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.59,6.15,Station,8.77,36.5,110,12000,24000,3,1,Merged Data,Single Wheat,1,2008,11,180.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,4.79,5.755,Station,8.77,36.5,110,12000,24000,3,4,Merged Data,Single Wheat,1,2009,11,170.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.64,5.74,Station,8.77,36.5,110,12000,24000,3,5,Merged Data,Single Wheat,1,2010,11,175.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.54,5.9,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Wheat,1,2011,11,156.0,WOFOST,1
Jendouba,1,Wheat,Tunisia,5.64,5.859999999999999,Station,8.77,36.5,110,12000,24000,3,1,Merged Data,Single Wheat,1,2012,11,160.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.81,5.04,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Barley,1,1990,11,146.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.63,4.9,Station,8.77,36.5,110,12000,24000,1,5,Merged Data,Single Barley,1,1991,11,152.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.54,5.69,Station,8.77,36.5,110,12000,24000,1,4,Merged Data,Single Barley,1,1992,11,172.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.06,4.505000000000001,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Barley,1,1993,11,162.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.05,5.51,Station,8.77,36.5,110,12000,24000,1,5,Merged Data,Single Barley,1,1994,11,163.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.77,5.895,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Barley,1,1995,11,165.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.15,4.82,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Barley,1,1996,11,157.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.61,4.734999999999999,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Barley,1,1997,11,145.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.17,5.46,Station,8.77,36.5,110,12000,24000,2,1,Merged Data,Single Barley,1,1998,11,150.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.39,5.904999999999999,Station,8.77,36.5,110,12000,24000,2,2,Merged Data,Single Barley,1,1999,11,161.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.44,4.785,Station,8.77,36.5,110,12000,24000,3,3,Merged Data,Single Barley,1,2000,11,163.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.85,5.235,Station,8.77,36.5,110,12000,24000,1,1,Merged Data,Single Barley,1,2001,11,153.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.98,5.595000000000001,Station,8.77,36.5,110,12000,24000,1,1,Merged Data,Single Barley,1,2002,11,162.0,WOFOST,1
Jendouba,1,Barley,Tunisia,6.24,6.640000000000001,Station,8.77,36.5,110,12000,24000,3,3,Merged Data,Single Barley,1,2003,11,160.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.67,6.135,Station,8.77,36.5,110,12000,24000,3,3,Merged Data,Single Barley,1,2004,11,151.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.97,5.385,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Barley,1,2005,11,165.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.82,5.145,Station,8.77,36.5,110,12000,24000,2,2,Merged Data,Single Barley,1,2006,11,162.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.01,4.455,Station,8.77,36.5,110,12000,24000,1,5,Merged Data,Single Barley,1,2007,11,151.0,WOFOST,1
Jendouba,1,Barley,Tunisia,4.69,5.31,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Barley,1,2008,11,150.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.01,5.73,Station,8.77,36.5,110,12000,24000,3,1,Merged Data,Single Barley,1,2009,11,145.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.45,6.055,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Barley,1,2010,11,158.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.82,6.109999999999999,Station,8.77,36.5,110,12000,24000,1,5,Merged Data,Single Barley,1,2011,11,169.0,WOFOST,1
Jendouba,1,Barley,Tunisia,5.89,6.065,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Barley,1,2012,11,165.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.97,9.07,Station,8.77,36.5,110,12000,24000,3,4,Merged Data,Single Tomatoes,1,1990,4,126.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,7.22,8.375,Station,8.77,36.5,110,12000,24000,3,1,Merged Data,Single Tomatoes,1,1991,4,120.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.49,9.065,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Tomatoes,1,1992,4,110.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.73,10.655,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Tomatoes,1,1993,4,112.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,11.22,11.05,Station,8.77,36.5,110,12000,24000,3,4,Merged Data,Single Tomatoes,1,1994,4,120.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.77,11.495,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Tomatoes,1,1995,4,129.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,10.95,11.81,Station,8.77,36.5,110,12000,24000,2,1,Merged Data,Single Tomatoes,1,1996,4,122.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,7.91,8.51,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Tomatoes,1,1997,4,134.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.96,8.945,Station,8.77,36.5,110,12000,24000,1,1,Merged Data,Single Tomatoes,1,1998,4,111.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,10.17,11.275,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Tomatoes,1,1999,4,114.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.23,9.98,Station,8.77,36.5,110,12000,24000,3,3,Merged Data,Single Tomatoes,1,2000,4,110.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.56,11.25,Station,8.77,36.5,110,12000,24000,3,2,Merged Data,Single Tomatoes,1,2001,4,121.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.63,9.7,Station,8.77,36.5,110,12000,24000,1,5,Merged Data,Single Tomatoes,1,2002,4,127.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,10.3,10.615,Station,8.77,36.5,110,12000,24000,2,2,Merged Data,Single Tomatoes,1,2003,4,132.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.88,10.035,Station,8.77,36.5,110,12000,24000,1,4,Merged Data,Single Tomatoes,1,2004,4,115.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.46,10.36,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Tomatoes,1,2005,4,113.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.08,8.805,Station,8.77,36.5,110,12000,24000,3,5,Merged Data,Single Tomatoes,1,2006,4,113.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,10.26,10.365,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Tomatoes,1,2007,4,135.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,9.25,9.425,Station,8.77,36.5,110,12000,24000,2,4,Merged Data,Single Tomatoes,1,2008,4,130.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,7.69,8.475000000000001,Station,8.77,36.5,110,12000,24000,1,2,Merged Data,Single Tomatoes,1,2009,4,105.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,7.57,8.07,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Tomatoes,1,2010,4,135.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,11.29,11.425,Station,8.77,36.5,110,12000,24000,1,3,Merged Data,Single Tomatoes,1,2011,4,134.0,WOFOST,1
Jendouba,1,Tomatoes,Tunisia,8.45,8.725,Station,8.77,36.5,110,12000,24000,2,5,Merged Data,Single Tomatoes,1,2012,4,133.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.83,6.555,Station,8.7,36.17,560,11000,23000,1,4,Merged Data,Single Wheat,1,1990,11,170.0,WOFOST,1
Kef,1,Wheat,Tunisia,6.09,6.765000000000001,Station,8.7,36.17,560,11000,23000,1,1,Merged Data,Single Wheat,1,1991,11,178.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.39,6.165,Station,8.7,36.17,560,11000,23000,2,3,Merged Data,Single Wheat,1,1992,11,155.0,WOFOST,1
Kef,1,Wheat,Tunisia,4.51,5.215,Station,8.7,36.17,560,11000,23000,1,3,Merged Data,Single Wheat,1,1993,11,160.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.98,6.41,Station,8.7,36.17,560,11000,23000,3,2,Merged Data,Single Wheat,1,1994,11,170.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.25,5.345,Station,8.7,36.17,560,11000,23000,1,1,Merged Data,Single Wheat,1,1995,11,157.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.06,5.075,Station,8.7,36.17,560,11000,23000,1,3,Merged Data,Single Wheat,1,1996,11,175.0,WOFOST,1
Kef,1,Wheat,Tunisia,6.55,6.435,Station,8.7,36.17,560,11000,23000,1,4,Merged Data,Single Wheat,1,1997,11,164.0,WOFOST,1
Kef,1,Wheat,Tunisia,4.86,5.19,Station,8.7,36.17,560,11000,23000,1,2,Merged Data,Single Wheat,1,1998,11,185.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.78,6.35,Station,8.7,36.17,560,11000,23000,2,3,Merged Data,Single Wheat,1,1999,11,166.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.63,6.404999999999999,Station,8.7,36.17,560,11000,23000,3,2,Merged Data,Single Wheat,1,2000,11,179.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.02,5.695,Station,8.7,36.17,560,11000,23000,1,3,Merged Data,Single Wheat,1,2001,11,167.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.3,5.42,Station,8.7,36.17,560,11000,23000,2,4,Merged Data,Single Wheat,1,2002,11,157.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.35,5.995,Station,8.7,36.17,560,11000,23000,3,4,Merged Data,Single Wheat,1,2003,11,156.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.12,5.76,Station,8.7,36.17,560,11000,23000,2,4,Merged Data,Single Wheat,1,2004,11,185.0,WOFOST,1
Kef,1,Wheat,Tunisia,4.58,5.225,Station,8.7,36.17,560,11000,23000,1,2,Merged Data,Single Wheat,1,2005,11,177.0,WOFOST,1
Kef,1,Wheat,Tunisia,6.17,6.699999999999999,Station,8.7,36.17,560,11000,23000,3,3,Merged Data,Single Wheat,1,2006,11,159.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.38,5.275,Station,8.7,36.17,560,11000,23000,1,4,Merged Data,Single Wheat,1,2007,11,184.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.7,6.0,Station,8.7,36.17,560,11000,23000,2,4,Merged Data,Single Wheat,1,2008,11,164.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.47,5.885,Station,8.7,36.17,560,11000,23000,2,2,Merged Data,Single Wheat,1,2009,11,185.0,WOFOST,1
Kef,1,Wheat,Tunisia,5.52,5.65,Station,8.7,36.17,560,11000,23000,1,2,Merged Data,Single Wheat,1,2010,11,166.0,WOFOST,1
Kef,1,Wheat,Tunisia,6.31,6.54,Station,8.7,36.17,560,11000,23000,1,3,Merged Data,Single Wheat,1,2011,11,175.0,WOFOST,1
Kef,1,Wheat,Tunisia,4.38,5.2,Station,8.7,36.17,560,11000,23000,1,3,Merged Data,Single Wheat,1,2012,11,184.0,WOFOST,1
Kef,1,Barley,Tunisia,4.68,4.925000000000001,Station,8.7,36.17,560,11000,23000,3,3,Merged Data,Single Barley,1,1990,11,147.0,WOFOST,1
Kef,1,Barley,Tunisia,5.11,5.2,Station,8.7,36.17,560,11000,23000,3,3,Merged Data,Single Barley,1,1991,11,160.0,WOFOST,1
Kef,1,Barley,Tunisia,4.95,5.84,Station,8.7,36.17,560,11000,23000,2,4,Merged Data,Single Barley,1,1992,11,164.0,WOFOST,1
Kef,1,Barley,Tunisia,4.4,4.805,Station,8.7,36.17,560,11000,23000,2,5,Merged Data,Single Barley,1,1993,11,165.0,WOFOST,1
